song,artist,genre,year,raiting
paris,nakala,r&b/soul,2016,9
as time go by,phora,hip-hop/r&b,2013,10
ain't me,pnb rock,hip-hop/r&b,2015,9
all in my feelings ,David Correy,pop,2016,8
anit-depressant,Londrelle,r&b/soul,2016,10
lonely,yung bands ,hip-hop/rap,2017,10
location,khalid,soul,2017,9
all year,11:11,r&b/soul,2019,10
ain't nobody takin my baby,russ,hip-hop/rap,2016,7
bad!,xxxtentacion,pop,2018,10
ballerina,belly,hip-hop/rap,2016,10
in line,poncho belly,hip-hop/rap,2018,9
beautiful,mali music,r&b/soul,2014,10
loved by you,mali music,r&b/soul,2017,9
ball for me,post malone,hip-hop/rap,2018,8
loved by you,mali music,r&b/soul,2017,9
